dataset,run_index,runId,sequenceIndex,generatedSlotIndex,slotTargetDifficulty,chunk,source,candidateType,primaryTag,difficulty,slot_delta,replacementMode,generatedBlueprintName,transitionPressureSeverity,transitionPressureReason,transitionPressureScore,deathsAttributedToSlot
current,1,20260429T194458837Z_873933243,0,-1,,Chunk_Flat_Tilemap,Chunk_Flat_Tilemap,handcrafted,Rest,1.0,,none,,none,none,0.0,0
current,1,20260429T194458837Z_873933243,1,0,2.1666667461395264,Chunk_VerticalDown_Tilemap,Chunk_VerticalDown_Tilemap,handcrafted,Vertical,2.0,-0.16666674613952637,none,,none,none,0.0,0
current,1,20260429T194458837Z_873933243,2,1,2.3333332538604736,Chunk_StairsUp_Tilemap,Chunk_StairsUp_Tilemap,handcrafted,Vertical,2.0,-0.33333325386047363,none,,none,none,0.0,0
current,1,20260429T194458837Z_873933243,3,2,2.5,Chunk_GapMedium_Tilemap,Chunk_GapMedium_Tilemap,handcrafted,Gap,3.0,0.5,none,,none,none,0.0,0
current,1,20260429T194458837Z_873933243,4,3,2.6666667461395264,Chunk_GapHard_Tilemap,Chunk_GapHard_Tilemap,handcrafted,Gap,4.0,1.3333332538604736,none,,none,none,0.0,0
current,1,20260429T194458837Z_873933243,5,4,2.8333334922790527,Generated_Rest_Runtime,Chunk_Flat_Tilemap,generated_blueprint,Rest,1.0,-1.8333334922790527,generated_candidate,Generated_Rest,none,none,0.0,0
current,1,20260429T194458837Z_873933243,6,5,3.0,Chunk_GapHard_Tilemap,Chunk_GapHard_Tilemap,handcrafted,Gap,4.0,1.0,none,,none,none,0.0,0
current,1,20260429T194458837Z_873933243,7,6,3.1666667461395264,Generated_Gap_Centered_Rise_Runtime,Chunk_GapMedium_Tilemap,generated_blueprint,Gap,3.0,-0.16666674613952637,generated_candidate,Generated_Gap_Centered_Rise,none,none,0.0,0
current,1,20260429T194458837Z_873933243,8,7,3.3333332538604736,Chunk_PrecisionJump_Tilemap,Chunk_PrecisionJump_Tilemap,handcrafted,Precision,4.0,0.6666667461395264,none,,none,none,0.0,0
current,1,20260429T194458837Z_873933243,9,8,3.5,Chunk_GapMedium_Tilemap,Chunk_GapMedium_Tilemap,handcrafted,Gap,3.0,-0.5,none,,none,none,0.0,0
current,2,20260429T194548420Z_377920594,0,-1,,Chunk_Flat_Tilemap,Chunk_Flat_Tilemap,handcrafted,Rest,1.0,,none,,none,none,0.0,0
current,2,20260429T194548420Z_377920594,1,0,2.1666667461395264,Chunk_VerticalDown_Tilemap,Chunk_VerticalDown_Tilemap,handcrafted,Vertical,2.0,-0.16666674613952637,none,,none,none,0.0,0
current,2,20260429T194548420Z_377920594,2,1,2.3333332538604736,Generated_Gap_Centered_Drop_Runtime,Chunk_GapMedium_Tilemap,generated_blueprint,Gap,3.0,0.6666667461395264,generated_candidate,Generated_Gap_Centered_Drop,none,none,0.0,0
current,2,20260429T194548420Z_377920594,3,2,2.5,Generated_Gap_Late_Drop2_Runtime,Chunk_Gap_Tilemap,generated_blueprint,Gap,2.0,-0.5,generated_candidate,Generated_Gap_Late_Drop2,none,none,0.0,0
current,2,20260429T194548420Z_377920594,4,3,2.6666667461395264,Chunk_ElevatedDoublePlatform_Tilemap,Chunk_ElevatedDoublePlatform_Tilemap,handcrafted,Precision,5.0,2.3333332538604736,none,,none,none,0.0,0
current,2,20260429T194548420Z_377920594,5,4,2.8333334922790527,Chunk_GapHard_Tilemap,Chunk_GapHard_Tilemap,handcrafted,Gap,4.0,1.1666665077209473,none,,none,none,0.0,0
current,2,20260429T194548420Z_377920594,6,5,3.0,Chunk_ElevatedPlatform_Tilemap,Chunk_ElevatedPlatform_Tilemap,handcrafted,Precision,4.0,1.0,none,,none,none,0.0,0
current,2,20260429T194548420Z_377920594,7,6,3.1666667461395264,Generated_Gap_Centered_Rise2_Runtime,Chunk_GapMedium_Tilemap,generated_blueprint,Gap,3.0,-0.16666674613952637,generated_candidate,Generated_Gap_Centered_Rise2,none,none,0.0,0
current,2,20260429T194548420Z_377920594,8,7,3.3333332538604736,Chunk_Spikes_Tilemap,Chunk_Spikes_Tilemap,handcrafted,Spikes,4.0,0.6666667461395264,none,,none,none,0.0,0
current,2,20260429T194548420Z_377920594,9,8,3.5,Generated_Gap_Centered_Flat_Runtime,Chunk_GapMedium_Tilemap,generated_blueprint,Gap,3.0,-0.5,generated_candidate,Generated_Gap_Centered_Flat,none,none,0.0,0
current,3,20260429T194735756Z_695450447,0,-1,,Chunk_Flat_Tilemap,Chunk_Flat_Tilemap,handcrafted,Rest,1.0,,none,,none,none,0.0,0
current,3,20260429T194735756Z_695450447,1,0,2.1666667461395264,Generated_Safe_RiseRest_Box2_Runtime,Chunk_DropRest_Tilemap,generated_blueprint,Safe,2.0,-0.16666674613952637,generated_candidate,Generated_Safe_RiseRest_Box2,none,none,0.0,0
current,3,20260429T194735756Z_695450447,2,1,2.3333332538604736,Chunk_StairsUp_Tilemap,Chunk_StairsUp_Tilemap,handcrafted,Vertical,2.0,-0.33333325386047363,none,,none,none,0.0,0
current,3,20260429T194735756Z_695450447,3,2,2.5,Generated_Gap_Centered_Rise2_Runtime,Chunk_GapMedium_Tilemap,generated_blueprint,Gap,3.0,0.5,generated_candidate,Generated_Gap_Centered_Rise2,none,none,0.0,0
current,3,20260429T194735756Z_695450447,4,3,2.6666667461395264,Chunk_PrecisionJump_Tilemap,Chunk_PrecisionJump_Tilemap,handcrafted,Precision,4.0,1.3333332538604736,none,,none,none,0.0,0
current,3,20260429T194735756Z_695450447,5,4,2.8333334922790527,Chunk_VerticalUp_Tilemap,Chunk_VerticalUp_Tilemap,handcrafted,Vertical,2.0,-0.8333334922790527,none,,none,none,0.0,0
current,3,20260429T194735756Z_695450447,6,5,3.0,Generated_Gap_Centered_Rise_Runtime,Chunk_GapHard_Tilemap,generated_blueprint,Gap,4.0,1.0,generated_candidate,Generated_Gap_Centered_Rise,none,none,0.0,0
current,3,20260429T194735756Z_695450447,7,6,3.1666667461395264,Chunk_GapMedium_Tilemap,Chunk_GapMedium_Tilemap,handcrafted,Gap,3.0,-0.16666674613952637,none,,none,none,0.0,0
current,3,20260429T194735756Z_695450447,8,7,3.3333332538604736,Chunk_Spikes_Tilemap,Chunk_Spikes_Tilemap,handcrafted,Spikes,4.0,0.6666667461395264,none,,none,none,0.0,0
current,3,20260429T194735756Z_695450447,9,8,3.5,Chunk_GapMedium_Tilemap,Chunk_GapMedium_Tilemap,handcrafted,Gap,3.0,-0.5,none,,none,none,0.0,0
current,4,20260429T194911916Z_1657043908,0,-1,,Chunk_Flat_Tilemap,Chunk_Flat_Tilemap,handcrafted,Rest,1.0,,none,,none,none,0.0,0
current,4,20260429T194911916Z_1657043908,1,0,2.1666667461395264,Chunk_Gap_Tilemap,Chunk_Gap_Tilemap,handcrafted,Gap,2.0,-0.16666674613952637,none,,none,none,0.0,0
current,4,20260429T194911916Z_1657043908,2,1,2.3333332538604736,Generated_Safe_RiseRest_Box2_Runtime,Chunk_DropRest_Tilemap,generated_blueprint,Safe,2.0,-0.33333325386047363,generated_candidate,Generated_Safe_RiseRest_Box2,none,none,0.0,0
current,4,20260429T194911916Z_1657043908,3,2,2.5,Chunk_GapMedium_Tilemap,Chunk_GapMedium_Tilemap,handcrafted,Gap,3.0,0.5,none,,none,none,0.0,0
current,4,20260429T194911916Z_1657043908,4,3,2.6666667461395264,Generated_Gap_Centered_Flat_Runtime,Chunk_Gap_Tilemap,generated_blueprint,Gap,2.0,-0.6666667461395264,generated_candidate,Generated_Gap_Centered_Flat,none,none,0.0,0
current,4,20260429T194911916Z_1657043908,5,4,2.8333334922790527,Generated_Precision_ElevatedPlatform_ExitDrop1_Runtime,Chunk_ElevatedPlatform_Tilemap,generated_blueprint,Precision,4.0,1.1666665077209473,generated_candidate,Generated_Precision_ElevatedPlatform_ExitDrop1,none,none,0.0,0
current,4,20260429T194911916Z_1657043908,6,5,3.0,Chunk_GapMedium_Tilemap,Chunk_GapMedium_Tilemap,handcrafted,Gap,3.0,0.0,none,,none,none,0.0,0
current,4,20260429T194911916Z_1657043908,7,6,3.1666667461395264,Generated_Precision_ElevatedPlatform_ExitDrop1_Runtime,Chunk_ElevatedPlatform_Tilemap,generated_blueprint,Precision,4.0,0.8333332538604736,generated_candidate,Generated_Precision_ElevatedPlatform_ExitDrop1,none,none,0.0,0
