transition,baseline,learned,delta,abs_delta
Gap -> Precision -> Gap (Medium),1.75,2.589686393737793,0.839686393737793,0.839686393737793
Precision -> Gap -> Precision (Medium),1.75,2.369974374771118,0.6199743747711182,0.6199743747711182
Rest -> Rest -> Gap (Medium),2.2,2.5552356243133545,0.3552356243133543,0.3552356243133543
Gap -> Gap -> Precision (Medium),1.75,2.085932493209839,0.33593249320983887,0.33593249320983887
Vertical -> Rest -> Gap (Medium),2.2,2.496241569519043,0.2962415695190428,0.2962415695190428
Gap -> Precision -> Spikes (Medium),1.0,1.2544924020767212,0.2544924020767212,0.2544924020767212
Gap -> Vertical -> Gap (Medium),1.75,2.0005505084991455,0.2505505084991455,0.2505505084991455
Vertical -> Gap -> Precision (Medium),1.75,1.9726898670196533,0.22268986701965332,0.22268986701965332
Vertical -> Gap -> Gap (Medium),1.0,1.143101453781128,0.14310145378112793,0.14310145378112793
Rest -> Rest -> Vertical (Medium),1.75,1.8900028467178345,0.14000284671783447,0.14000284671783447
Precision -> Gap -> Gap (Medium),1.0,1.1365801095962524,0.13658010959625244,0.13658010959625244
Rest -> Gap -> Vertical (Medium),1.25,1.380783200263977,0.13078320026397705,0.13078320026397705
Precision -> Spikes -> Gap (Medium),1.5,1.626783013343811,0.12678301334381104,0.12678301334381104
Rest -> Gap -> Gap (Medium),1.0,1.1240692138671875,0.1240692138671875,0.1240692138671875
Rest -> Vertical -> Gap (Medium),1.75,1.8538107872009277,0.10381078720092773,0.10381078720092773
Safe -> Gap -> Gap (Medium),1.0,1.0973013639450073,0.09730136394500732,0.09730136394500732
Safe -> Vertical -> Gap (Medium),1.75,1.8465133905410767,0.09651339054107666,0.09651339054107666
Safe -> Gap -> Vertical (Medium),1.25,1.3448816537857056,0.09488165378570557,0.09488165378570557
Gap -> Gap -> Vertical (Medium),1.25,1.3447672128677368,0.09476721286773682,0.09476721286773682
Gap -> Spikes -> Gap (Medium),1.5,1.5944249629974365,0.09442496299743652,0.09442496299743652
Precision -> Gap -> Vertical (Medium),1.25,1.335375428199768,0.08537542819976807,0.08537542819976807
Spikes -> Gap -> Precision (Medium),1.75,1.826451301574707,0.07645130157470703,0.07645130157470703
Precision -> Gap -> Spikes (Medium),0.75,0.8234336376190186,0.07343363761901855,0.07343363761901855
Gap -> Safe -> Gap (Medium),2.2,2.2730541229248047,0.07305412292480451,0.07305412292480451
Rest -> Gap -> Safe (Medium),2.5,2.573054075241089,0.07305407524108887,0.07305407524108887
Rest -> Rest -> Safe (Medium),2.0,2.0709826946258545,0.07098269462585449,0.07098269462585449
Rest -> Safe -> Vertical (Medium),1.75,1.8209823369979858,0.07098233699798584,0.07098233699798584
Vertical -> Gap -> Vertical (Medium),1.25,1.3147149085998535,0.06471490859985352,0.06471490859985352
Vertical -> Vertical -> Gap (Medium),1.75,1.813761591911316,0.06376159191131592,0.06376159191131592
Gap -> Vertical -> Precision (Medium),1.5,1.5599794387817383,0.05997943878173828,0.05997943878173828
Precision -> Spikes -> Precision (Medium),0.25,0.29722675681114197,0.04722675681114197,0.04722675681114197
Safe -> Gap -> Precision (Medium),1.75,1.7968313694000244,0.046831369400024414,0.046831369400024414
Vertical -> Precision -> Gap (Medium),1.75,1.7953747510910034,0.04537475109100342,0.04537475109100342
Spikes -> Gap -> Gap (Medium),1.0,1.030332088470459,0.030332088470458984,0.030332088470458984
Spikes -> Gap -> Spikes (Medium),0.75,0.7785645723342896,0.02856457233428955,0.02856457233428955
Gap -> Precision -> Vertical (Medium),1.25,1.2761924266815186,0.026192426681518555,0.026192426681518555
Precision -> Vertical -> Precision (Medium),1.5,1.5261924266815186,0.026192426681518555,0.026192426681518555
Vertical -> Safe -> Gap (Medium),2.2,2.2195992469787598,0.019599246978759588,0.019599246978759588
Rest -> Vertical -> Safe (Medium),2.5,2.519599199295044,0.019599199295043945,0.019599199295043945
Rest -> Rest -> Vertical (Low),1.5,1.5193933248519897,0.019393324851989746,0.019393324851989746
Rest -> Vertical -> Vertical (Low),1.0,1.0193933248519897,0.019393324851989746,0.019393324851989746
Vertical -> Vertical -> Gap (Low),1.5,1.5193933248519897,0.019393324851989746,0.019393324851989746
Vertical -> Gap -> Gap (Low),1.0,1.0193933248519897,0.019393324851989746,0.019393324851989746
Rest -> Gap -> Gap (Low),1.0,1.0193933248519897,0.019393324851989746,0.019393324851989746
Gap -> Precision -> Gap (Low),1.0,1.0193933248519897,0.019393324851989746,0.019393324851989746
Gap -> Gap -> Rest (Low),2.5,2.5193932056427,0.019393205642700195,0.019393205642700195
Gap -> Rest -> Gap (Low),2.0,2.0193932056427,0.019393205642700195,0.019393205642700195
Gap -> Gap -> Precision (Low),0.75,0.7693930268287659,0.01939302682876587,0.01939302682876587
Gap -> Spikes -> Precision (Medium),0.25,0.2687811553478241,0.018781155347824097,0.018781155347824097
Rest -> Gap -> Precision (Medium),1.75,1.767529010772705,0.017529010772705078,0.017529010772705078
Gap -> Precision -> Safe (Medium),2.5,2.5165929794311523,0.016592979431152344,0.016592979431152344
Rest -> Vertical -> Vertical (Medium),1.0,1.0165923833847046,0.01659238338470459,0.01659238338470459
Vertical -> Gap -> Spikes (Medium),0.75,0.7661448121070862,0.01614481210708618,0.01614481210708618
Vertical -> Precision -> Spikes (Medium),1.0,1.014604926109314,0.014604926109313965,0.014604926109313965
Gap -> Gap -> Spikes (Medium),0.75,0.7631202340126038,0.01312023401260376,0.01312023401260376
Spikes -> Precision -> Spikes (Medium),1.0,1.0053232908248901,0.005323290824890137,0.005323290824890137
Rest -> Rest -> Precision (Medium),1.2,1.2000000476837158,4.768371586472142e-08,4.768371586472142e-08
Rest -> Safe -> Precision (Medium),1.2,1.2000000476837158,4.768371586472142e-08,4.768371586472142e-08
Rest -> Safe -> Gap (Medium),2.2,2.200000047683716,4.7683715642676816e-08,4.7683715642676816e-08
Rest -> Spikes -> Vertical (Low),0.1,0.10000000149011612,1.4901161138336505e-09,1.4901161138336505e-09
Rest -> Spikes -> Precision (Low),0.1,0.10000000149011612,1.4901161138336505e-09,1.4901161138336505e-09
Rest -> Precision -> Vertical (Low),0.1,0.10000000149011612,1.4901161138336505e-09,1.4901161138336505e-09
Rest -> Precision -> Spikes (Low),0.1,0.10000000149011612,1.4901161138336505e-09,1.4901161138336505e-09
Gap -> Precision -> Vertical (Low),0.1,0.10000000149011612,1.4901161138336505e-09,1.4901161138336505e-09
Rest -> Spikes -> Rest (Low),4.0,4.0,0.0,0.0
Rest -> Spikes -> Safe (Low),3.0,3.0,0.0,0.0
Rest -> Spikes -> Gap (Low),1.0,1.0,0.0,0.0
Rest -> Precision -> Rest (Low),4.0,4.0,0.0,0.0
Rest -> Precision -> Safe (Low),3.0,3.0,0.0,0.0
Rest -> Precision -> Gap (Low),1.0,1.0,0.0,0.0
Rest -> Vertical -> Safe (Low),3.0,3.0,0.0,0.0
Rest -> Vertical -> Rest (Low),2.5,2.5,0.0,0.0
Rest -> Vertical -> Gap (Low),1.5,1.5,0.0,0.0
Rest -> Vertical -> Precision (Low),0.5,0.5,0.0,0.0
Rest -> Vertical -> Spikes (Low),0.5,0.5,0.0,0.0
Rest -> Gap -> Safe (Low),3.0,3.0,0.0,0.0
Rest -> Gap -> Rest (Low),2.5,2.5,0.0,0.0
Rest -> Gap -> Precision (Low),0.75,0.75,0.0,0.0
Rest -> Gap -> Vertical (Low),0.5,0.5,0.0,0.0
Rest -> Gap -> Spikes (Low),0.5,0.5,0.0,0.0
Rest -> Rest -> Safe (Low),2.5,2.5,0.0,0.0
Rest -> Rest -> Gap (Low),2.0,2.0,0.0,0.0
Rest -> Rest -> Rest (Low),1.5,1.5,0.0,0.0
Rest -> Rest -> Spikes (Low),0.75,0.75,0.0,0.0
Rest -> Rest -> Precision (Low),0.5,0.5,0.0,0.0
Rest -> Safe -> Safe (Low),2.5,2.5,0.0,0.0
Rest -> Safe -> Gap (Low),2.0,2.0,0.0,0.0
Rest -> Safe -> Vertical (Low),1.5,1.5,0.0,0.0
Rest -> Safe -> Rest (Low),1.5,1.5,0.0,0.0
Rest -> Safe -> Spikes (Low),0.75,0.75,0.0,0.0
Rest -> Safe -> Precision (Low),0.5,0.5,0.0,0.0
Rest -> Spikes -> Safe (Medium),3.0,3.0,0.0,0.0
Rest -> Spikes -> Rest (Medium),2.5,2.5,0.0,0.0
Rest -> Spikes -> Gap (Medium),1.5,1.5,0.0,0.0
Rest -> Spikes -> Vertical (Medium),1.0,1.0,0.0,0.0
Rest -> Spikes -> Precision (Medium),0.25,0.25,0.0,0.0
Rest -> Precision -> Safe (Medium),2.5,2.5,0.0,0.0
Rest -> Precision -> Rest (Medium),2.0,2.0,0.0,0.0
Rest -> Precision -> Gap (Medium),1.75,1.75,0.0,0.0
Rest -> Precision -> Vertical (Medium),1.25,1.25,0.0,0.0
Rest -> Precision -> Spikes (Medium),1.0,1.0,0.0,0.0
Rest -> Vertical -> Rest (Medium),2.0,2.0,0.0,0.0
Rest -> Vertical -> Precision (Medium),1.5,1.5,0.0,0.0
Rest -> Vertical -> Spikes (Medium),0.75,0.75,0.0,0.0
Rest -> Gap -> Rest (Medium),2.0,2.0,0.0,0.0
Rest -> Gap -> Spikes (Medium),0.75,0.75,0.0,0.0
Rest -> Rest -> Spikes (Medium),1.5,1.5,0.0,0.0
Rest -> Rest -> Rest (Medium),1.0,1.0,0.0,0.0
Rest -> Safe -> Safe (Medium),2.0,2.0,0.0,0.0
Rest -> Safe -> Spikes (Medium),1.5,1.5,0.0,0.0
Rest -> Safe -> Rest (Medium),1.0,1.0,0.0,0.0
Spikes -> Rest -> Spikes (High),2.0,2.0,0.0,0.0
Spikes -> Rest -> Precision (High),1.75,1.75,0.0,0.0
Spikes -> Rest -> Gap (High),1.5,1.5,0.0,0.0
Spikes -> Rest -> Safe (High),1.0,1.0,0.0,0.0
Spikes -> Rest -> Rest (High),0.75,0.75,0.0,0.0
Vertical -> Gap -> Precision (High),2.0,2.0,0.0,0.0
Vertical -> Gap -> Spikes (High),1.5,1.5,0.0,0.0
Vertical -> Gap -> Safe (High),1.0,1.0,0.0,0.0
Rest -> Spikes -> Safe (High),2.0,2.0,0.0,0.0
Rest -> Spikes -> Gap (High),1.75,1.75,0.0,0.0
Rest -> Spikes -> Rest (High),1.5,1.5,0.0,0.0
Rest -> Spikes -> Precision (High),1.5,1.5,0.0,0.0
Rest -> Spikes -> Vertical (High),1.0,1.0,0.0,0.0
Rest -> Precision -> Safe (High),1.75,1.75,0.0,0.0
Rest -> Precision -> Gap (High),1.75,1.75,0.0,0.0
Rest -> Precision -> Vertical (High),1.75,1.75,0.0,0.0
Rest -> Precision -> Rest (High),1.25,1.25,0.0,0.0
Rest -> Precision -> Spikes (High),1.25,1.25,0.0,0.0
Rest -> Vertical -> Gap (High),2.0,2.0,0.0,0.0
Rest -> Vertical -> Precision (High),1.75,1.75,0.0,0.0
Rest -> Vertical -> Safe (High),1.5,1.5,0.0,0.0
Rest -> Vertical -> Spikes (High),1.25,1.25,0.0,0.0
Rest -> Vertical -> Rest (High),1.0,1.0,0.0,0.0
Rest -> Gap -> Precision (High),2.0,2.0,0.0,0.0
Rest -> Gap -> Vertical (High),1.75,1.75,0.0,0.0
Rest -> Gap -> Safe (High),1.5,1.5,0.0,0.0
Rest -> Gap -> Spikes (High),1.25,1.25,0.0,0.0
Rest -> Gap -> Rest (High),1.0,1.0,0.0,0.0
Rest -> Rest -> Gap (High),2.0,2.0,0.0,0.0
Rest -> Rest -> Vertical (High),1.75,1.75,0.0,0.0
Rest -> Rest -> Spikes (High),1.75,1.75,0.0,0.0
Rest -> Rest -> Precision (High),1.5,1.5,0.0,0.0
Rest -> Rest -> Safe (High),1.0,1.0,0.0,0.0
Rest -> Rest -> Rest (High),0.75,0.75,0.0,0.0
Rest -> Safe -> Gap (High),2.0,2.0,0.0,0.0
Rest -> Safe -> Vertical (High),1.75,1.75,0.0,0.0
Rest -> Safe -> Spikes (High),1.75,1.75,0.0,0.0
Rest -> Safe -> Precision (High),1.5,1.5,0.0,0.0
Rest -> Safe -> Safe (High),1.0,1.0,0.0,0.0
Rest -> Safe -> Rest (High),0.75,0.75,0.0,0.0
Precision -> Gap -> Precision (Low),0.75,0.75,0.0,0.0
