dataset,index,runId,seed,target,actual,actual_minus_target,deaths,deaths_per_chunk,time_per_chunk,transition_pressure_count,high_pressure_count,generated_slots,decision,target_before,target_after,performance_strain,smoothed_strain,engagement,hesitation,momentum,reversals_per_second,retry_delay,death_clustering,behaviour_chunks,markov_learning_applied,markov_learning_quality,markov_positive_cap,markov_delivered_delta,markov_transitions_updated
adaptive_on,1,20260429T194458837Z_873933243,-873933243,3.5,4.0,0.5,0,0.0,0.8999923467636108,0,0,2,keep_about_right,3.5,3.5,0.11021734029054642,0.11021734029054642,0.7373488545417786,0.15555556118488312,0.7178220748901367,0.0,-1.0,0.0,11,True,0.47469770908355713,False,0.5,9
adaptive_on,2,20260429T194548420Z_377920594,-377920594,3.5,5.099999904632568,1.5999999046325684,0,0.0,1.1139177083969116,0,0,4,keep_content_overshot,3.5,3.5,0.11355097591876984,0.11205083876848221,0.7379151582717896,0.0683453232049942,0.682840883731842,0.17985618114471436,-1.0,0.0,11,True,0.0,True,1.5999999046325684,9
adaptive_on,3,20260429T194735756Z_695450447,695450447,3.5,5.050000190734863,1.5500001907348633,0,0.0,0.747892439365387,0,0,3,keep_content_overshot,3.5,3.5,0.07762231677770615,0.09311515092849731,0.777304470539093,0.04278074949979782,0.7896246314048767,0.2673797905445099,-1.0,0.0,9,True,0.0,True,1.5500001907348633,9
adaptive_on,4,20260429T194911916Z_1657043908,1657043908,3.5,4.150000095367432,0.6500000953674316,0,0.0,0.9419302940368652,0,0,5,increase_clean_streak,3.5,4.0,0.0780690461397171,0.08483979105949402,0.8017126321792603,0.0042553190141916275,0.8240422010421753,0.21276603639125824,-1.0,0.0,10,True,0.6034252643585205,False,0.6500000953674316,9
adaptive_on,5,20260429T195220185Z_755245175,-755245175,4.0,5.900000095367432,1.9000000953674316,0,0.0,0.8139178156852722,0,0,2,keep_content_overshot,4.0,4.0,0.09159256517887115,0.08855381608009338,0.750423014163971,0.06435643881559372,0.7253953814506531,0.24752484261989594,-1.0,0.0,11,True,0.0,True,1.9000000953674316,9
adaptive_on,6,20260429T195408686Z_329741170,329741170,4.0,5.150000095367432,1.1500000953674316,0,0.0,0.9338753819465637,0,0,3,keep_content_overshot,4.0,4.0,0.09361552447080612,0.09133775532245636,0.7611584067344666,0.04516129195690155,0.737718403339386,0.21505384147167206,-1.0,0.0,9,True,0.0,True,1.1500000953674316,9
adaptive_on,7,20260429T200149360Z_641542169,641542169,4.0,4.25,0.25,0,0.0,0.9919188618659973,0,0,3,increase_clean_streak,4.0,4.5,0.08896572887897491,0.0900331437587738,0.7865087985992432,0.038383837789297104,0.7745850086212158,0.0,-1.0,0.0,10,True,0.5730175971984863,False,0.25,9
adaptive_on,8,20260429T200230141Z_1049333772,1049333772,4.5,5.200000286102295,0.7000002861022949,0,0.0,1.003869891166687,0,0,2,keep_about_right,4.5,4.5,0.09224025905132294,0.09124705940485,0.7730715870857239,0.023952096700668335,0.7829134464263916,0.39920178055763245,-1.0,0.0,9,True,0.5461431741714478,False,0.7000002861022949,9
adaptive_on,9,20260429T200336301Z_1710960079,1710960079,4.5,4.550000190734863,0.05000019073486328,1,0.10000000149011612,1.7939361333847046,0,0,5,keep_about_right,4.5,4.5,0.2242242842912674,0.16438452899456024,0.8466538190841675,0.08156424760818481,0.685518205165863,0.3910616338253021,0.04000091552734375,1.0,19,True,0.693307638168335,False,0.05000019073486328,9
adaptive_on,10,20260429T200504826Z_1698790356,-1698790356,4.5,5.949999809265137,1.4499998092651367,1,0.10000000149011612,1.3458943367004395,0,0,1,keep_minor_error_content_overshot,4.5,4.5,0.2070293426513672,0.18783918023109436,0.8843970894813538,0.019461078569293022,0.7952987551689148,0.7485032677650452,0.0200042724609375,1.0,16,True,0.0,True,1.4499998092651367,9
adaptive_off,1,20260429T201106971Z_1922496437,1922496437,3.5,4.699999809265137,1.1999998092651367,0,0.0,0.9859539270401001,0,0,2,adaptive_off,3.5,3.5,0.0,0.0,0.6380340456962585,0.22109533846378326,0.5098568201065063,0.20283983647823334,-1.0,0.0,12,False,0.0,False,0.0,0
adaptive_off,2,20260429T201340153Z_840462170,-840462170,3.5,4.099999904632568,0.5999999046325684,0,0.0,0.8458988070487976,0,0,3,adaptive_off,3.5,3.5,0.0,0.0,0.7963013648986816,0.02631578966975212,0.8622964024543762,0.4784690737724304,-1.0,0.0,10,False,0.0,False,0.0,0
adaptive_off,3,20260429T201349013Z_751836195,-751836195,3.5,3.8000001907348633,0.3000001907348633,0,0.0,1.1798666715621948,0,0,4,adaptive_off,3.5,3.5,0.0,0.0,0.6361147165298462,0.3644067943096161,0.5777611136436462,0.0,-1.0,0.0,12,False,0.0,False,0.0,0
